,cases_mean,cases_median,cases_Std,low_ci_05,high_ci_95,low_ci_025,high_ci_975,type
2020-10-19,1771.8811631469728,1747.1468505859375,342.3849192151694,1268.3696655273438,2386.681115722656,1190.2300323486327,2546.677325439453,estimate
2020-10-20,1796.5223186645508,1770.8280029296875,339.7521483704784,1297.4169128417968,2397.182263183594,1208.1815002441406,2546.5536254882813,estimate
2020-10-21,1822.4570522155761,1795.8226928710938,348.0744016217807,1310.6571472167968,2440.9291748046876,1223.420654296875,2571.6056396484373,estimate
2020-10-22,1848.039826751709,1824.111328125,363.37788679316947,1303.3328247070312,2462.498010253906,1201.9642486572266,2609.4082885742187,estimate
2020-10-23,1869.333592010498,1840.689453125,372.89085101667246,1304.565075683594,2484.686157226562,1220.642333984375,2623.406658935546,estimate
2020-10-24,1904.036256286621,1885.9757080078125,377.310768047718,1328.2162353515625,2548.422998046875,1250.0924163818358,2678.054962158202,estimate
2020-10-25,1947.1393474731444,1928.1250610351562,386.24008679598984,1366.1227600097654,2592.4858886718744,1264.9771759033204,2740.88805541992,estimate
2020-10-26,1984.893024291992,1961.4733276367188,394.0229444600954,1406.3674865722655,2626.943811035156,1304.117739868164,2803.0696044921865,estimate
2020-10-27,2015.8029047241212,1989.4871215820312,401.2821231854324,1394.2391967773438,2719.5526611328123,1302.1967987060548,2868.014227294922,estimate
2020-10-28,2034.1532865905763,1999.8994750976562,405.1290056149153,1421.4553344726562,2731.4593994140623,1305.699267578125,2945.369287109373,estimate
2020-10-29,2034.4429356384278,2001.2562255859375,413.13278527152113,1428.4236511230467,2736.9171752929688,1306.115530395508,2905.902874755857,estimate
2020-10-30,2029.79996383667,2005.9993896484375,405.30561222602466,1423.1794189453124,2705.2169555664063,1318.5833312988282,2904.356060791015,estimate
2020-10-31,2020.4012723693847,2003.0126342773438,403.6271327687705,1401.7590393066405,2692.1193115234373,1312.9670654296876,2881.3760070800777,estimate
